gene,importance
PTPRC,0.026305053157085808
HLA-DPB1,0.025115978442496165
C1QA,0.02100263850870552
C3,0.02047244099723978
LYZ,0.019885676944107544
TRBC2,0.01600795218581153
HLA-DQA1,0.015524233120442942
HLA-DPA1,0.015368123958315459
HLA-DQB1,0.013733395068214707
C1QB,0.013306112329075049
LAPTM5,0.012657891411091362
CCL5,0.012358627205315472
GSTP1,0.012353244616987846
CYBA,0.012019827633316079
LSP1,0.011742275069525113
IL32,0.01135323237846781
CD52,0.011266971328183628
APOE,0.011256175177425855
CORO1A,0.011045297330248302
LIMD2,0.011042545047621276
TIMP1,0.010853436604907497
ZFP36L2,0.010518972625919974
TRAC,0.009461936759917149
ITGB2,0.009401735555062346
IGKC,0.008592378724886876
C1S,0.008445971005330646
SERPINF1,0.008327284740099208
VIM,0.008297175646845713
TXNIP,0.007664671694131081
HLA-A,0.006957749221681381
TYROBP,0.006599600977420999
IGLC2,0.006433011550759228
IGHG3,0.006354590458584199
LTB,0.006350875793475724
HCST,0.006266894168592919
LCP1,0.006243382809698077
CTSS,0.006234862561514957
SERPING1,0.00613305924915758
C1QC,0.006046683300284739
EMP3,0.0059827530916903345
HLA-DMB,0.005292064680868681
GMFG,0.004909952483476465
CCL19,0.004831174669583084
FYB1,0.004789782172804552
TRBC1,0.004723647943914814
C1R,0.004590858714860992
IGHM,0.004584102202368977
HCLS1,0.004488236739350028
HLA-DMA,0.004432212694216706
FXYD5,0.004419309136865519
A2M,0.004324156245368775
LRP1,0.004148150689189232
SFRP2,0.004135302183445834
PLEKHO1,0.004128115783514114
IGHG4,0.0041052829789945625
TCEAL4,0.004100138848141289
COL6A2,0.004039408122641431
CXCR4,0.003998876782209289
HLA-DQA2,0.00394092661329169
IL10RA,0.0038087534879768436
SRGN,0.0037513036373198055
AKNA,0.0037365370562282597
CD53,0.003602531746791909
PTGDS,0.0035839009523039897
AIF1,0.0035764429856906615
GPNMB,0.0034860372816594982
MYO9B,0.003457218821774529
CTSC,0.003288038563082986
CPVL,0.0032577699073214413
ADA2,0.003224137259914146
CYTH4,0.0032163025673863322
WIPF1,0.0031931276393166058
GSN,0.00315090040114249
NCF1,0.0030594964090587483
ARHGAP45,0.0030423292097053025
MAF,0.0030353865795036575
CD27,0.0030223663586152554
FGL2,0.003010751781873704
CD4,0.0029636897355002634
MAN2B1,0.0029483310488611207
S100A4,0.0028641255411886576
CD163,0.002854729475281607
BGN,0.0028537857998622487
CD14,0.0028339055167882613
VSIR,0.0027239626274936047
ITGAL,0.002700787458097856
COTL1,0.002687056256556157
DCN,0.002597121505978982
IGHA1,0.0025209489571428184
APOC1,0.0025096773148050957
CSF1R,0.002492942917473835
IL2RG,0.002399256027535547
TBC1D10C,0.0023984312767077
IGHG1,0.0023338407677592756
MALAT1,0.0023318151732931915
MS4A6A,0.0022901747130484175
CD37,0.0022789424050122594
CCDC80,0.00222255050446676
FBLN1,0.0022063141128072245
CNN2,0.0021681827572064744
CD3E,0.00212516368834733
FLNA,0.002112750409061212
DPYSL2,0.0021019243881125085
LCK,0.0020830471341636144
COX6C,0.0020511212590141616
CD68,0.002023897947099574
SLC39A6,0.0020166379793357773
CTSZ,0.0018810695142523262
IGLC3,0.0018616647663604051
IFI16,0.0018043467803086576
CCND1,0.001752453882666423
SELENOP,0.001738596882909464
MGP,0.0016670817109323173
CSTA,0.0016642797460418577
STK4,0.0016082601780625031
RARRES2,0.0015850924289223572
SOD2,0.0015815973748628963
CXCL12,0.0015740281888910184
ARHGAP4,0.0015705900877973338
SFRP4,0.0015703324674529293
LTBP3,0.0015613739572157977
MYO1F,0.001559536733641528
JAK3,0.0015261139256110313
PPP1R18,0.0015176292277224973
MT-ND2,0.0015076531317403756
NNMT,0.0014854384766372537
ETS1,0.0014151624609655003
CAVIN1,0.0014110911404214663
MPEG1,0.0014000800416960682
TFF1,0.0013566548099395058
S100G,0.0013399411530979843
COL6A3,0.0013181376263694592
GRK2,0.0013162252436304499
MMP9,0.0013157973631933236
CD6,0.001311787216599771
KCTD12,0.0013080291967374812
HK2,0.001299698133262156
HSPG2,0.0012876708143955812
LUM,0.0012597906497762313
STAB1,0.0012428243474882186
THY1,0.0012418711994821928
CD2,0.0012372755514708845
EVI2B,0.0012250081800282613
HEBP1,0.0012237115806912713
GYPC,0.001205314918481792
STK17B,0.001193848052691874
CXCL14,0.00118753299140033
AEBP1,0.0011769313194448406
CCDC85B,0.001174123100571773
IGLC1,0.0011734614179234838
RASAL3,0.0011448410004864021
TMC8,0.0011409302957829175
RNASE1,0.0011381547935051016
RASSF4,0.0011332491829205143
MMP11,0.0011104693909915545
IL7R,0.001095800647727542
SERPINA3,0.0010849453150196258
JAML,0.0010834081498864274
FSTL1,0.001077609388025278
SCD,0.0010707155404563618
SELPLG,0.0010672305383363837
RAC2,0.001060746221431364
SAMHD1,0.0010594368967054505
CASP4,0.0010506047954627136
NKG7,0.0010504878690902985
ADGRE5,0.001042788052411184
SLCO2B1,0.001038994746105194
IKZF1,0.0010360535267232634
GGT5,0.001023693941859492
LGMN,0.0010162087587508694
XIST,0.0010130068171424296
ACAP1,0.0010047497333193355
SLC40A1,0.001003691004919613
CXCL9,0.0010025225498324864
IFIT1,0.0009989461174613585
IGFLR1,0.0009969041546581889
CPB1,0.0009726620159241019
CTSK,0.0009686634484657854
ARL4C,0.000947372836651877
LBH,0.0009289000077066085
STC2,0.0009273391904977124
COL6A1,0.0009145610769480637
ISLR,0.0009121215771405067
IFI27,0.0009054081163357996
